Packet number,Error code,Error message
39516,6,Bluetooth transmit buffer overrun.
39625,6,Bluetooth transmit buffer overrun.
39707,6,Bluetooth transmit buffer overrun.
39776,6,Bluetooth transmit buffer overrun.
39885,6,Bluetooth transmit buffer overrun.
39994,6,Bluetooth transmit buffer overrun.
40103,6,Bluetooth transmit buffer overrun.
40212,6,Bluetooth transmit buffer overrun.
40321,6,Bluetooth transmit buffer overrun.
40430,6,Bluetooth transmit buffer overrun.
40539,6,Bluetooth transmit buffer overrun.
40648,6,Bluetooth transmit buffer overrun.
40757,6,Bluetooth transmit buffer overrun.
40866,6,Bluetooth transmit buffer overrun.
40975,6,Bluetooth transmit buffer overrun.
41084,6,Bluetooth transmit buffer overrun.
41193,6,Bluetooth transmit buffer overrun.
41302,6,Bluetooth transmit buffer overrun.
41411,6,Bluetooth transmit buffer overrun.
41520,6,Bluetooth transmit buffer overrun.
41629,6,Bluetooth transmit buffer overrun.
41738,6,Bluetooth transmit buffer overrun.
41847,6,Bluetooth transmit buffer overrun.
41956,6,Bluetooth transmit buffer overrun.
42065,6,Bluetooth transmit buffer overrun.
42174,6,Bluetooth transmit buffer overrun.
42283,6,Bluetooth transmit buffer overrun.
42392,6,Bluetooth transmit buffer overrun.
42501,6,Bluetooth transmit buffer overrun.
42610,6,Bluetooth transmit buffer overrun.
42719,6,Bluetooth transmit buffer overrun.
42828,6,Bluetooth transmit buffer overrun.
42937,6,Bluetooth transmit buffer overrun.
43046,6,Bluetooth transmit buffer overrun.
43155,6,Bluetooth transmit buffer overrun.
43264,6,Bluetooth transmit buffer overrun.
43373,6,Bluetooth transmit buffer overrun.
43482,6,Bluetooth transmit buffer overrun.
43591,6,Bluetooth transmit buffer overrun.
43700,6,Bluetooth transmit buffer overrun.
43809,6,Bluetooth transmit buffer overrun.
43918,6,Bluetooth transmit buffer overrun.
44027,6,Bluetooth transmit buffer overrun.
44136,6,Bluetooth transmit buffer overrun.
44245,6,Bluetooth transmit buffer overrun.
44354,6,Bluetooth transmit buffer overrun.
44463,6,Bluetooth transmit buffer overrun.
44572,6,Bluetooth transmit buffer overrun.
44681,6,Bluetooth transmit buffer overrun.
