Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
480,0.0625,0,-0.125,0.015625,0.001953125,-1.038086,0.1557617,-0.8173828,0.05322266
484,-0.0625,0,0,0.01953125,-0.001464844,-1.03418,0.1572266,-0.8198242,0.05175781
488,0.0625,0,-0.125,0.02734375,0.001953125,-1.03418,0.1572266,-0.8198242,0.05175781
492,0,0,0.125,0.01953125,0.001953125,-1.038086,0.1572266,-0.8222656,0.05175781
496,0,0,0.0625,0.015625,-0.005371094,-1.03418,0.1547852,-0.8183594,0.05322266
500,-0.125,0.1875,0,0.01171875,-0.001464844,-1.041992,0.1547852,-0.8183594,0.05322266
504,0,-0.125,-0.125,0.015625,0.005859375,-1.038086,0.1557617,-0.8183594,0.05322266
508,-0.125,0,0,0.0234375,-0.001464844,-1.03418,0.1547852,-0.8212891,0.05419922
512,0,-0.125,0.0625,0.015625,0.001953125,-1.030273,0.1547852,-0.8212891,0.05419922
516,0,0,0,0.01953125,0.005859375,-1.030273,0.1547852,-0.8198242,0.05322266
520,-0.1875,0,0.1875,0.015625,0.005859375,-1.030273,0.1572266,-0.8198242,0.05175781
524,-0.0625,0.125,0.0625,0.01953125,0.001953125,-1.03418,0.1572266,-0.8198242,0.05175781
528,0,0.125,0.0625,0.0234375,0.005859375,-1.041992,0.1572266,-0.8212891,0.05175781
532,-0.0625,-0.125,0.0625,0.01953125,0.005859375,-1.030273,0.1547852,-0.8212891,0.05175781
536,0,-0.125,0.0625,0.01953125,0.005859375,-1.03418,0.1547852,-0.8212891,0.05175781
540,0,0,0,0.015625,0.009765625,-1.045898,0.1547852,-0.8222656,0.05322266
544,-0.0625,0.125,0.0625,0.01953125,-0.001464844,-1.041992,0.1557617,-0.8183594,0.05175781
548,-0.0625,0,0,0.01953125,0.005859375,-1.038086,0.1557617,-0.8183594,0.05175781
552,0.1875,-0.0625,-0.0625,0.01953125,0.001953125,-1.038086,0.1572266,-0.8222656,0.05029297
556,0.125,0,-0.125,0.01953125,0.001953125,-1.03418,0.1547852,-0.8212891,0.05322266
560,0.0625,0,0,0.01953125,0.001953125,-1.038086,0.1547852,-0.8212891,0.05322266
565,-0.125,0,0.0625,0.01171875,0.005859375,-1.03418,0.1547852,-0.8183594,0.05175781
569,0,0.0625,0,0.01953125,0.005859375,-1.03418,0.1557617,-0.8198242,0.05322266
573,0,-0.125,0,0.015625,0.001953125,-1.03418,0.1572266,-0.8198242,0.05322266
577,0,0,0.125,0.015625,0.001953125,-1.045898,0.1572266,-0.8198242,0.05322266
581,0.0625,0.125,-0.0625,0.0234375,0.001953125,-1.038086,0.1533203,-0.8212891,0.05322266
585,-0.0625,0.125,-0.0625,0.0234375,-0.005371094,-1.03418,0.1557617,-0.8183594,0.05175781
589,0.0625,-0.0625,0,0.015625,-0.001464844,-1.041992,0.1557617,-0.8183594,0.05175781
593,0.0625,0,0.0625,0.01953125,-0.001464844,-1.038086,0.1557617,-0.8183594,0.05322266
597,0,-0.1875,0.125,0.015625,0.001953125,-1.03418,0.1547852,-0.8237305,0.05419922
601,0,0,0,0.01953125,0.001953125,-1.041992,0.1547852,-0.8237305,0.05419922
605,0,0,0.0625,0.015625,0.001953125,-1.038086,0.1557617,-0.8183594,0.05029297
609,-0.0625,0,0,0.01953125,0.005859375,-1.041992,0.1557617,-0.8198242,0.05419922
613,0.0625,0.0625,-0.125,0.015625,0.001953125,-1.038086,0.1557617,-0.8198242,0.05419922
617,0,-0.0625,0,0.01953125,0.001953125,-1.049805,0.1557617,-0.8222656,0.05322266
621,0.0625,0.0625,0.0625,0.01953125,0.001953125,-1.045898,0.1547852,-0.8183594,0.05322266
625,0,-0.0625,0,0.01953125,0.009765625,-1.041992,0.1547852,-0.8183594,0.05322266
629,-0.0625,0,0,0.01953125,0.005859375,-1.038086,0.1557617,-0.8183594,0.05322266
633,0,-0.125,0.0625,0.015625,0.001953125,-1.041992,0.1557617,-0.8198242,0.05419922
637,0.0625,0,-0.0625,0.01953125,-0.001464844,-1.03418,0.1557617,-0.8198242,0.05419922
641,-0.125,0.125,0.125,0.0234375,0.005859375,-1.030273,0.1547852,-0.8198242,0.05175781
645,0,0.1875,0.0625,0.015625,0.001953125,-1.030273,0.1557617,-0.8212891,0.05322266
649,0.0625,0,-0.125,0.0234375,-0.001464844,-1.026855,0.1557617,-0.8212891,0.05322266
653,-0.125,0,-0.0625,0.0234375,0.001953125,-1.038086,0.1533203,-0.8198242,0.05322266
657,-0.125,-0.0625,0.0625,0.01953125,0.001953125,-1.053711,0.1572266,-0.8212891,0.05322266
661,-0.0625,-0.0625,0,0.01953125,0.001953125,-1.038086,0.1572266,-0.8212891,0.05322266
665,0,0.0625,-0.0625,0.015625,0.005859375,-1.041992,0.1572266,-0.8198242,0.05175781
669,0,-0.0625,-0.0625,0.015625,0.001953125,-1.038086,0.1557617,-0.8183594,0.05029297
674,0.0625,0,-0.0625,0.01953125,0.001953125,-1.030273,0.1547852,-0.8198242,0.05419922
678,0,-0.25,-0.0625,0.015625,0.005859375,-1.03418,0.1547852,-0.8198242,0.05419922
682,0,0,-0.1875,0.01953125,0.001953125,-1.041992,0.1572266,-0.8183594,0.05419922
686,0,-0.0625,-0.0625,0.01953125,0.009765625,-1.038086,0.1557617,-0.8183594,0.05322266
690,-0.25,-0.125,-0.0625,0.015625,0.001953125,-1.038086,0.1557617,-0.8183594,0.05322266
694,0.125,0.0625,-0.1875,0.0234375,0.005859375,-1.053711,0.1557617,-0.8212891,0.05175781
698,0,-0.125,-0.0625,0.01953125,-0.001464844,-1.049805,0.1547852,-0.8198242,0.05322266
702,0,0,-0.0625,0.01171875,0.009765625,-1.045898,0.1547852,-0.8198242,0.05322266
706,0.0625,-0.0625,0.1875,0.01953125,0.001953125,-1.041992,0.1572266,-0.8198242,0.05419922
710,0,-0.0625,0,0.01953125,0.005859375,-1.041992,0.1557617,-0.8183594,0.05566406
714,-0.1875,-0.25,0,0.0234375,0.005859375,-1.041992,0.1557617,-0.8183594,0.05566406
718,-0.0625,-0.1875,0,0.01953125,0.009765625,-1.038086,0.1557617,-0.8212891,0.05322266
722,0,0,0.125,0.015625,0.001953125,-1.038086,0.1547852,-0.8198242,0.05175781
726,-0.1875,0,-0.0625,0.015625,0.005859375,-1.030273,0.1547852,-0.8198242,0.05175781
730,0,0,0.0625,0.015625,-0.005371094,-1.041992,0.1557617,-0.8212891,0.05175781
734,0,-0.125,0,0.0234375,0.001953125,-1.030273,0.1557617,-0.8183594,0.05419922
738,-0.125,0,-0.125,0.01171875,-0.001464844,-1.041992,0.1557617,-0.8183594,0.05419922
742,0,0.1875,0.0625,0.01953125,0.005859375,-1.049805,0.1533203,-0.8198242,0.05175781
746,0.0625,0,0.0625,0.0234375,0.005859375,-1.038086,0.1572266,-0.8198242,0.05029297
750,0,0,-0.125,0.01953125,0.001953125,-1.03418,0.1572266,-0.8198242,0.05029297
754,0,0,0,0.015625,0.001953125,-1.041992,0.1557617,-0.8198242,0.05175781
758,0.0625,0.125,-0.0625,0.015625,0.001953125,-1.049805,0.1572266,-0.8198242,0.05322266
762,0.0625,-0.0625,-0.0625,0.0234375,-0.001464844,-1.045898,0.1572266,-0.8198242,0.05322266
766,0,0.0625,0,0.015625,0.001953125,-1.041992,0.1557617,-0.8212891,0.05322266
770,0,0.125,0,0.015625,-0.001464844,-1.030273,0.1572266,-0.8198242,0.05419922
774,-0.0625,0.1875,0,0.01953125,0.005859375,-1.030273,0.1572266,-0.8198242,0.05419922
778,-0.125,0,0.0625,0.01953125,0.001953125,-1.03418,0.1557617,-0.8183594,0.05322266
783,0.125,0.0625,0,0.015625,-0.001464844,-1.038086,0.1557617,-0.8183594,0.05322266
787,0.125,-0.0625,0,0.0234375,-0.001464844,-1.030273,0.1557617,-0.8198242,0.05322266
791,-0.125,0,0.125,0.015625,0.001953125,-1.03418,0.1557617,-0.8198242,0.05322266
795,0.0625,0,-0.125,0.01953125,0.005859375,-1.038086,0.1547852,-0.8212891,0.05419922
799,-0.125,0,0,0.01171875,0.009765625,-1.03418,0.1572266,-0.8198242,0.05419922
803,0,-0.1875,-0.0625,0.015625,0.005859375,-1.038086,0.1572266,-0.8198242,0.05419922
807,0,0.1875,0.0625,0.01953125,-0.001464844,-1.041992,0.1572266,-0.8198242,0.05566406
811,-0.125,-0.0625,0.0625,0.015625,0.009765625,-1.03418,0.1572266,-0.8198242,0.05419922
815,0.125,0,0.125,0.01953125,0.005859375,-1.026855,0.1572266,-0.8198242,0.05419922
819,0.0625,-0.25,-0.0625,0.015625,0.001953125,-1.03418,0.1572266,-0.8212891,0.05322266
823,-0.125,-0.0625,-0.0625,0.01953125,0.005859375,-1.038086,0.1572266,-0.8198242,0.05175781
827,0,0,0,0.015625,0.005859375,-1.049805,0.1572266,-0.8198242,0.05175781
831,0,-0.125,-0.0625,0.015625,0.001953125,-1.049805,0.1572266,-0.8183594,0.05419922
835,0,0,-0.125,0.01171875,0.001953125,-1.03418,0.1547852,-0.8212891,0.05175781
839,0,-0.1875,0.1875,0.01953125,0.001953125,-1.038086,0.1547852,-0.8212891,0.05175781
843,-0.1875,-0.3125,-0.1875,0.015625,-0.001464844,-1.038086,0.1557617,-0.8212891,0.05322266
847,-0.4375,-1,-0.25,0.015625,0.009765625,-1.038086,0.1557617,-0.8183594,0.05175781
851,-0.625,-1.625,-0.25,0.0234375,-0.001464844,-1.03418,0.1557617,-0.8183594,0.05175781
855,-0.9375,-1.9375,-0.25,0.01953125,-0.001464844,-1.03418,0.1572266,-0.8183594,0.05175781
859,-0.6875,-2.1875,-0.375,0.01953125,-0.005371094,-1.041992,0.1572266,-0.8183594,0.05322266
863,-0.9375,2.25,-11.8125,0.2495117,0.1894531,-0.9462891,0.1572266,-0.8183594,0.05322266
867,4.125,3.625,-54.5,0.3198242,-0.06787109,-1.137695,0.1572266,-0.8212891,0.05029297
871,-1.875,-2.625,-73.5625,0.2026367,0.005859375,-1.026855,0.1611328,-0.8237305,0.05029297
875,1.125,-2.375,-84.5,0.08203125,-0.01708984,-1.064941,0.1611328,-0.8237305,0.05029297
879,2.3125,3.6875,-71.9375,-0.03466797,-0.2788086,-0.984375,0.1748047,-0.8291016,0.04785156
883,-5.0625,-12,-15.25,-0.2529297,-0.3608398,-1.222168,0.1860352,-0.8344727,0.04345703
887,-5.5,-5.75,32.125,-0.2026367,-0.1420898,-0.9233398,0.1860352,-0.8344727,0.04345703
892,-3.25,4.6875,19,-0.01513672,-0.08349609,-1.118652,0.1958008,-0.8422852,0.03808594
896,-8.6875,10.625,18.8125,0.03515625,-0.06787109,-1.114746,0.2021484,-0.8476563,0.03417969
900,-13.1875,20.1875,19.375,0.09326172,-0.06396484,-0.9692383,0.2055664,-0.8452148,0.03417969
904,-21.4375,31.1875,21.125,0.08935547,-0.02490234,-1.01123,0.2055664,-0.8452148,0.03417969
908,-31.5,34.375,24.375,0.0234375,0.02148438,-1.382813,0.2109375,-0.8515625,0.03271484
912,-38,51.4375,31.625,0.05859375,-0.03662109,-1.122559,0.2207031,-0.8530273,0.03027344
916,-47.4375,70.5,39.1875,0.07421875,-0.03662109,-1.156738,0.2207031,-0.8530273,0.03027344
920,-56.1875,85.5,44.9375,0.04296875,-0.02880859,-1.386719,0.2294922,-0.859375,0.02783203
924,-58.9375,82.0625,46.75,-0.01513672,-0.03271484,-1.643066,0.2392578,-0.8608398,0.03271484
928,-57.8125,64.5625,46.4375,-0.06982422,-0.07177734,-1.830566,0.2392578,-0.8608398,0.03271484
932,-52.8125,37.8125,44.75,-0.08544922,-0.1069336,-1.983887,0.2543945,-0.8676758,0.03955078
936,-45.9375,4.6875,42.6875,-0.08544922,-0.1147461,-2.048828,0.2719727,-0.8754883,0.0625
940,-40.5,-28.375,39,-0.05029297,-0.1069336,-2.071777,0.2719727,-0.8754883,0.0625
944,-37.625,-52.5625,35.25,0.00390625,-0.1108398,-1.999023,0.2915039,-0.8823242,0.09716797
948,-37.625,-66.8125,32.4375,0.05078125,-0.1342773,-1.895996,0.3217773,-0.8862305,0.1411133
952,-38.5,-73.5625,31.5,0.1010742,-0.1616211,-1.79248,0.3217773,-0.8862305,0.1411133
956,-38.6875,-77.25,32.25,0.128418,-0.1850586,-1.708008,0.3491211,-0.8886719,0.199707
960,-38.375,-80.9375,35,0.1323242,-0.2006836,-1.646973,0.3725586,-0.8886719,0.2666016
964,-36.5,-84.5625,39,0.1362305,-0.2124023,-1.593262,0.3725586,-0.8886719,0.2666016
968,-34.25,-86.625,43.5,0.1401367,-0.2163086,-1.55127,0.4013672,-0.8886719,0.3374023
972,-31.375,-87.875,48.0625,0.1362305,-0.2163086,-1.520508,0.4238281,-0.8769531,0.4135742
976,-28.5625,-90.625,52.1875,0.1323242,-0.2163086,-1.509277,0.4238281,-0.8769531,0.4135742
980,-25.875,-87.4375,54.8125,0.1245117,-0.2006836,-1.497559,0.4399414,-0.859375,0.4912109
984,-22.75,-89.125,56.875,0.1088867,-0.1928711,-1.497559,0.4472656,-0.8369141,0.5673828
988,-18.625,-88.4375,57.3125,0.112793,-0.1655273,-1.520508,0.4472656,-0.8369141,0.5673828
992,-14.25,-88.5625,55.8125,0.112793,-0.1381836,-1.55127,0.4487305,-0.8027344,0.6381836
996,-9.8125,-90.8125,53.625,0.1010742,-0.1186523,-1.5625,0.4384766,-0.765625,0.7050781
1001,23.875,-106.5625,47.875,0.01953125,-0.06396484,-1.582031,0.3178711,-0.5366211,0.8798828
1005,27.875,-110.0625,47.3125,0.015625,-0.04443359,-1.570313,0.3178711,-0.5366211,0.8798828
1009,31.5,-112.9375,46.375,0.015625,-0.03271484,-1.555176,0.277832,-0.4741211,0.8891602
1013,34.875,-115.9375,45.6875,0.01171875,-0.03271484,-1.536133,0.2304688,-0.4145508,0.8935547
1017,39.125,-119,44.0625,0.00390625,-0.009277344,-1.532227,0.2304688,-0.4145508,0.8935547
1021,44.4375,-121.6875,41.9375,-0.01513672,0.005859375,-1.52832,0.1894531,-0.362793,0.8891602
1025,51.125,-125.3125,38.9375,-0.02685547,0.01367188,-1.539551,0.1474609,-0.3164063,0.8774414
1029,58.875,-129.375,35.0625,-0.03466797,0.03710938,-1.532227,0.1474609,-0.3164063,0.8774414
1033,68.5625,-132.75,30.25,-0.04248047,0.04101563,-1.505371,0.1098633,-0.2783203,0.862793
1037,78.9375,-136.1875,25.875,-0.04248047,0.03710938,-1.486328,0.07617188,-0.2421875,0.8452148
1041,89.875,-138.8125,21.875,-0.04638672,0.02539063,-1.463379,0.07617188,-0.2421875,0.8452148
1045,98.6875,-141.5625,18.5,-0.03076172,0.02539063,-1.428711,0.04785156,-0.2143555,0.8266602
1049,105.75,-143.25,16.375,-0.01513672,0.02929688,-1.390625,0.02294922,-0.190918,0.8066406
1053,110.0625,-144.3125,16.9375,-0.01513672,0.02929688,-1.348145,0.02294922,-0.190918,0.8066406
